"ID","Matter","1) Create file","Date 1","3) New form","Date 3","2) Engagement letter","Date 2","4) Bill4time & M-Files","Date 4","5) Pre-Bill","Date 5","6) Issue invoices 1","Date 6","7) Send letter & invoice","Date 7","8) Receive letter","Date 8","9) Receive payment 1","Date 9","10) Matter end","Date 10","11) Last judgment","Date 11","12) Entering expenses","Date 12","13) Issue invoices 2","Date 13","14) Receive payment 2","Date 14"
40,"8 / 2016","Created",17/12/2018 0:00:00,"Created",16/1/2019 0:00:00,"Done",2/1/2019 0:00:00,"Working",,,,,,,,,,,,,,,,,,,,,
41,"183 / 135?","Created",17/12/2018 0:00:00,"Created",16/1/2019 0:00:00,"Done",2/1/2019 0:00:00,"Working",,,,,,,,,,,,,,,,,,,,,
42,"??? ?????? ???? ???? ???? ????",,,"Created",,"Done",,"Done",,"Approved",,"Done",,"Sent",,"Received",,"Received",,"Ended",,"Not required",,"Not required",,"Not required",,"Not required",
43,"??? ?????? ???? ?????? ??? 1843 ????/ ????? ???",,,"Created",,"Done",,"Done",,"Approved",,"Done",,"Sent",,"Received",,"Received",,"Ended",,"Not required",,"Not required",,"Not required",,"Not required",
44,"439 / 2017 -
4725 / 22?","Created",,"Created",,"Done",,"Done",,"Approved",,"Done",,"Sent",,"Received",,"Received",,"Still working",,,,,,,,,
45,"411 / 2015 -
8358 / 21? -
6785 / 88?","Created",,"Created",,"Done",,"Done",,"Approved",,"Done",,"Sent",,"Received",,"Received",,"Still working",,,,,,,,,
46,"1907 / 2014 -
11048 / 134? -
7099 / 88?","Created",,"Created",,"Done",,"Done",,"Approved",,"Done",,"Sent",,"Received",,"Received",,"Still working",,,,,,,,,
47,"??? ?????? ???? ??? ??????? ?? ???? ??? ???? ???????",,,"Created",,"Done",,"Done",,"Approved",,"Done",,"Sent",,"Received",,"Received",,"Ended",,"Not required",,"Not required",,"Not required",,"Not required",
48,"19 / 2015 -
524 / 21?","Created",,"Created",,"Done",,"Done",,"Approved",,"Done",,"Sent",,"Received",,"Received",,"Ended",27/6/2018 0:00:00,"Done",26/9/2018 0:00:00,"Done",,"Done",,"Not received",
49,"1344 / 2017 -
4794 / 2017","Created",,"Created",,"Done",,"Done",17/10/2017 0:00:00,"Approved",,"Done",17/10/2017 0:00:00,"Sent",,"Received",,"Received",29/11/2017 0:00:00,"Still working",,,,,,,,,
50,"721 / 2017","Created",,"Created",,"Done",,"Done",,"Approved",,"Done",,"Sent",,"Received",,"Received",,"Ended",,"Done",,"Done",,"Done",,"Received",
51,"722 / 2017","Created",,"Created",,"Done",,"Done",,"Approved",,"Done",,"Sent",,"Received",,"Received",,"Ended",,"Done",,"Done",,"Done",,"Received",
52,"??? ?????? ????: 1) ???? ??? ??? ????? ???????? ????? ???????? 2) ????? ??? ??????? ??????? ?? ??????? ??????? ???????","Created",,"Created",,"Done",,"Done",,"Approved",,"Done",,"Sent",,"Received",,"Received",,"Ended",,"Not required",,"Not required",,"Not required",,"Not required",
53,"439 / 2017","Created",,"Created",,"Done",,"Done",,"Approved",,"Done",,"Sent",,"Received",,"Received",,"Ended",,"Done",,"Done",,"Done",,"Received",
54,"4072 / 2018","Created",,"Created",,"Done",,"Done",,"Approved",,"Done",,"Sent",,"Received",,"Not received",,"Still working",,,,,,,,,
55,"354 / 21?","Created",,"Created",,"Done",,"Done",,"Approved",,"Done",31/10/2017 0:00:00,"Sent",,"Received",,"Received",14/12/2017 0:00:00,"Still working",,,,,,,,,
56,"1907 / 2014 -
11048 / 134?","Created",,"Created",,"Done",,"Done",,"Approved",,"Done",,"Sent",,"Received",,"Received",,"Ended",,"Done",,"Done",,"Done",,"Received",
57,"74229 / 62?","Created",,"Created",,"Done",,"Done",,"Approved",,"Done",,"Sent",,,,,,"Ended",23/12/2018 0:00:00,"Working",,,,,,,
58,"3467 / 2014 -
3903? 3481 / 74?","Created",,"Created",,"Done",,"Done",,"Approved",,"Done",,"Sent",,,,"Received",,"Ended",18/12/2018 0:00:00,"Working",,,,,,,
