"matterID","FirstHearingDate"
400,1/2/2018 0:00:00
401,16/1/2010 0:00:00
402,27/11/2016 0:00:00
403,27/11/2016 0:00:00
404,15/10/2015 0:00:00
405,19/12/2017 0:00:00
406,26/2/2013 0:00:00
407,27/7/2016 0:00:00
408,11/1/2010 0:00:00
409,13/7/2020 0:00:00
410,23/12/2013 0:00:00
411,12/9/2012 0:00:00
412,24/3/2013 0:00:00
413,10/10/2010 0:00:00
414,25/3/2013 0:00:00
415,25/6/2015 0:00:00
416,10/9/2020 0:00:00
417,8/4/2017 0:00:00
418,8/4/2017 0:00:00
419,4/3/2014 0:00:00
420,4/3/2018 0:00:00
421,3/7/2012 0:00:00
422,16/6/2016 0:00:00
423,6/4/2013 0:00:00
424,29/1/2011 0:00:00
425,3/4/2018 0:00:00
426,1/4/2012 0:00:00
427,13/12/2014 0:00:00
429,31/10/2011 0:00:00
430,26/10/2010 0:00:00
431,19/4/2017 0:00:00
432,30/1/2018 0:00:00
433,27/2/2019 0:00:00
434,16/11/2011 0:00:00
435,9/6/2015 0:00:00
436,22/6/2013 0:00:00
437,13/1/2016 0:00:00
438,21/3/2019 0:00:00
439,7/6/2014 0:00:00
440,19/1/2016 0:00:00
442,25/11/2015 0:00:00
443,11/6/2015 0:00:00
444,21/1/2015 0:00:00
445,17/11/2019 0:00:00
446,12/12/2015 0:00:00
447,18/12/2013 0:00:00
448,21/8/2016 0:00:00
449,22/6/2019 0:00:00
450,14/1/2019 0:00:00
451,11/2/2012 0:00:00
452,1/9/2013 0:00:00
453,13/3/2011 0:00:00
455,12/3/2019 0:00:00
456,12/2/2020 0:00:00
457,13/2/2020 0:00:00
459,4/1/2018 0:00:00
460,13/12/2015 0:00:00
461,9/7/2012 0:00:00
462,19/2/2018 0:00:00
463,20/6/2012 0:00:00
464,3/12/2013 0:00:00
465,9/11/2015 0:00:00
466,9/12/2012 0:00:00
467,17/10/2017 0:00:00
468,17/10/2017 0:00:00
469,17/12/2015 0:00:00
470,12/6/2017 0:00:00
471,28/2/2019 0:00:00
472,20/2/2014 0:00:00
473,3/6/2020 0:00:00
475,3/6/2020 0:00:00
476,11/1/2014 0:00:00
477,1/1/2013 0:00:00
478,22/7/2015 0:00:00
479,24/12/2013 0:00:00
480,25/11/2010 0:00:00
481,14/1/2018 0:00:00
482,13/12/2016 0:00:00
483,27/2/2019 0:00:00
484,19/9/2015 0:00:00
485,28/7/2011 0:00:00
486,5/4/2014 0:00:00
487,5/4/2014 0:00:00
488,5/4/2014 0:00:00
489,31/10/2010 0:00:00
490,5/11/2014 0:00:00
491,12/9/2011 0:00:00
492,6/9/2015 0:00:00
493,28/9/2014 0:00:00
494,1/2/2016 0:00:00
495,11/3/2012 0:00:00
496,11/6/2015 0:00:00
497,5/2/2017 0:00:00
498,1/6/2014 0:00:00
499,21/3/2019 0:00:00
500,26/4/2017 0:00:00
501,21/9/2016 0:00:00
504,23/11/2013 0:00:00
505,24/11/2013 0:00:00
506,24/11/2013 0:00:00
507,27/11/2013 0:00:00
508,24/11/2013 0:00:00
509,27/11/2013 0:00:00
510,25/3/2012 0:00:00
511,26/2/2020 0:00:00
512,13/3/2012 0:00:00
513,19/4/2016 0:00:00
514,26/9/2020 0:00:00
515,30/10/2017 0:00:00
516,18/1/2012 0:00:00
517,5/7/2017 0:00:00
518,19/1/2011 0:00:00
519,13/4/2016 0:00:00
520,8/11/2009 0:00:00
521,10/7/2011 0:00:00
522,27/1/2015 0:00:00
523,12/3/2019 0:00:00
524,2/3/2016 0:00:00
525,27/1/2016 0:00:00
526,14/6/2011 0:00:00
527,7/2/2010 0:00:00
528,14/11/2017 0:00:00
529,29/2/2020 0:00:00
530,13/7/2019 0:00:00
531,1/10/2016 0:00:00
532,21/9/2019 0:00:00
533,20/9/2014 0:00:00
534,23/4/2011 0:00:00
535,14/6/2011 0:00:00
536,24/5/2010 0:00:00
537,9/12/2013 0:00:00
539,9/2/2016 0:00:00
540,22/4/2015 0:00:00
542,6/9/2015 0:00:00
543,25/11/2017 0:00:00
544,26/8/2012 0:00:00
545,21/7/2019 0:00:00
546,24/1/2015 0:00:00
547,21/4/2012 0:00:00
548,6/6/2012 0:00:00
549,7/12/2011 0:00:00
550,30/9/2014 0:00:00
551,24/6/2014 0:00:00
552,29/5/2019 0:00:00
553,14/1/2015 0:00:00
554,31/1/2015 0:00:00
555,10/6/2017 0:00:00
556,
557,31/1/2015 0:00:00
558,2/2/2015 0:00:00
559,26/4/2014 0:00:00
560,30/3/2017 0:00:00
561,21/10/2009 0:00:00
562,26/12/2013 0:00:00
563,18/1/2012 0:00:00
564,18/6/2019 0:00:00
565,2/4/2014 0:00:00
566,7/9/2017 0:00:00
567,19/4/2014 0:00:00
568,2/8/2016 0:00:00
569,27/7/2020 0:00:00
570,27/4/2017 0:00:00
571,17/1/2017 0:00:00
572,27/5/2012 0:00:00
573,18/4/2015 0:00:00
574,28/9/2015 0:00:00
576,5/9/2018 0:00:00
577,9/2/2016 0:00:00
578,3/5/2014 0:00:00
579,5/6/2013 0:00:00
580,17/8/2014 0:00:00
581,8/1/2019 0:00:00
582,3/1/2011 0:00:00
584,9/6/2013 0:00:00
585,
586,21/1/2010 0:00:00
587,28/10/2014 0:00:00
588,28/10/2014 0:00:00
589,1/11/2015 0:00:00
590,19/3/2017 0:00:00
591,29/12/2014 0:00:00
592,15/4/2018 0:00:00
593,14/9/2010 0:00:00
594,7/9/2010 0:00:00
595,4/2/2015 0:00:00
596,26/3/2013 0:00:00
597,26/3/2015 0:00:00
599,16/9/2014 0:00:00
600,15/5/2016 0:00:00
601,15/5/2016 0:00:00
602,15/5/2016 0:00:00
603,15/5/2016 0:00:00
604,15/5/2016 0:00:00
605,15/5/2016 0:00:00
606,15/5/2016 0:00:00
607,15/5/2016 0:00:00
608,15/5/2016 0:00:00
609,15/5/2016 0:00:00
610,3/4/2014 0:00:00
611,2/4/2014 0:00:00
612,27/10/2016 0:00:00
613,10/10/2019 0:00:00
614,15/9/2010 0:00:00
615,28/12/2015 0:00:00
616,27/3/2017 0:00:00
617,16/1/2017 0:00:00
618,11/1/2020 0:00:00
619,12/4/2014 0:00:00
620,29/9/2015 0:00:00
621,9/6/2014 0:00:00
623,3/5/2014 0:00:00
624,7/10/2020 0:00:00
625,
626,7/10/2020 0:00:00
627,22/11/2011 0:00:00
628,27/4/2011 0:00:00
629,1/8/2017 0:00:00
630,28/11/2020 0:00:00
631,18/4/2011 0:00:00
632,2/1/2011 0:00:00
633,14/10/2019 0:00:00
634,2/12/2015 0:00:00
635,5/5/2016 0:00:00
636,9/3/2019 0:00:00
637,14/7/2019 0:00:00
638,4/7/2012 0:00:00
639,11/11/2014 0:00:00
640,30/4/2012 0:00:00
641,4/3/2014 0:00:00
642,24/12/2011 0:00:00
643,1/4/2017 0:00:00
644,7/6/2016 0:00:00
645,24/11/2016 0:00:00
646,14/9/2020 0:00:00
647,24/8/2014 0:00:00
648,25/3/2017 0:00:00
649,26/12/2018 0:00:00
650,23/2/2015 0:00:00
651,22/6/2015 0:00:00
652,27/8/2019 0:00:00
653,9/9/2019 0:00:00
654,12/1/2016 0:00:00
655,12/1/2016 0:00:00
656,21/2/2017 0:00:00
657,14/10/2012 0:00:00
658,24/5/2014 0:00:00
659,18/6/2019 0:00:00
660,3/1/2011 0:00:00
661,23/9/2012 0:00:00
662,13/10/2018 0:00:00
663,
665,9/2/2015 0:00:00
666,22/4/2014 0:00:00
667,24/2/2014 0:00:00
668,16/7/2016 0:00:00
669,10/9/2011 0:00:00
670,7/4/2011 0:00:00
671,8/4/2015 0:00:00
672,1/9/2015 0:00:00
673,25/2/2018 0:00:00
674,10/9/2017 0:00:00
675,18/6/2019 0:00:00
676,19/3/2012 0:00:00
677,6/3/2012 0:00:00
678,27/4/2019 0:00:00
679,12/4/2014 0:00:00
680,9/4/2020 0:00:00
681,1/9/2020 0:00:00
682,1/1/2014 0:00:00
683,9/4/2014 0:00:00
684,26/9/2020 0:00:00
685,29/6/2017 0:00:00
686,1/1/2014 0:00:00
687,11/6/2011 0:00:00
